level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,Oil Equipment & Services,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Oil,4,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102004/,,stage_2,5,108.0,92.17,0.97,0.0045,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.27,104.02,1.67,1.81,True,False,2026-07-20 ratio=99.59 momentum=102.21; 2026-07-21 ratio=99.55 momentum=102.85; 2026-07-22 ratio=99.59 momentum=103.20; 2026-07-23 ratio=99.83 momentum=103.42; 2026-07-27 ratio=101.27 momentum=104.02,True
industry,Oil Exploration & Production,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Oil,7,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102001/,,not_stage_2,3,103.34,99.82,1.95,0.00431,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.56,101.62,-0.11,-1.46,False,False,2026-07-20 ratio=99.67 momentum=103.08; 2026-07-21 ratio=99.69 momentum=103.81; 2026-07-22 ratio=99.99 momentum=101.86; 2026-07-23 ratio=100.30 momentum=103.54; 2026-07-27 ratio=99.56 momentum=101.62,False
industry,Other Agricultural Products,equal_weight_top_members,Fast Moving Consumer Goods,Agricultural Food & other Products,10,https://www.screener.in/market/IN04/IN0401/IN040101/IN040101004/,,not_stage_2,1,97.65,99.41,-0.21,0.00407,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,lagging,99.11,102.36,1.17,4.47,False,True,2026-07-20 ratio=97.95 momentum=97.89; 2026-07-21 ratio=98.12 momentum=97.97; 2026-07-22 ratio=98.38 momentum=100.38; 2026-07-23 ratio=98.28 momentum=98.71; 2026-07-27 ratio=99.11 momentum=102.36,False
industry,Other Bank,equal_weight_top_members,Financial Services,Banks,9,https://www.screener.in/market/IN05/IN0501/IN050102/IN050102003/,,stage_2,5,111.89,96.24,1.85,0.00466,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.24,99.69,0.41,-1.46,False,False,2026-07-20 ratio=101.83 momentum=101.15; 2026-07-21 ratio=102.27 momentum=101.91; 2026-07-22 ratio=101.79 momentum=102.05; 2026-07-23 ratio=102.11 momentum=101.15; 2026-07-27 ratio=102.24 momentum=99.69,False
industry,Other Construction Materials,equal_weight_top_members,Construction Materials,Other Construction Materials,8,https://www.screener.in/market/IN01/IN0102/IN010204/IN010204001/,,not_stage_2,4,86.87,80.18,-0.44,0.00362,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.63,100.33,0.62,1.39,True,False,2026-07-20 ratio=101.01 momentum=98.94; 2026-07-21 ratio=100.94 momentum=98.83; 2026-07-22 ratio=100.97 momentum=100.06; 2026-07-23 ratio=101.15 momentum=98.49; 2026-07-27 ratio=101.63 momentum=100.33,False
industry,Other Consumer Services,equal_weight_top_members,Consumer Services,Other Consumer Services,6,https://www.screener.in/market/IN02/IN0206/IN020602/IN020602004/,,not_stage_2,1,84.97,91.43,-3.23,0.00354,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.22,104.15,0.71,-0.05,False,False,2026-07-20 ratio=98.51 momentum=104.20; 2026-07-21 ratio=98.71 momentum=102.73; 2026-07-22 ratio=98.76 momentum=102.69; 2026-07-23 ratio=99.05 momentum=103.02; 2026-07-27 ratio=99.22 momentum=104.15,False
industry,Other Industrial Products,equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205012/,,stage_2,5,118.26,105.25,1.83,0.00493,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.87,99.67,-0.06,-0.1,False,False,2026-07-20 ratio=100.94 momentum=99.77; 2026-07-21 ratio=101.29 momentum=102.45; 2026-07-22 ratio=100.96 momentum=101.52; 2026-07-23 ratio=100.70 momentum=98.49; 2026-07-27 ratio=100.87 momentum=99.67,False
industry,Passenger Cars & Utility Vehicles,equal_weight_top_members,Automobile and Auto Components,Automobiles,8,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101001/,,not_stage_2,1,104.53,107.69,-1.19,0.00436,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.76,98.54,0.56,2.95,False,False,2026-07-20 ratio=98.20 momentum=95.59; 2026-07-21 ratio=98.36 momentum=96.29; 2026-07-22 ratio=98.29 momentum=98.01; 2026-07-23 ratio=98.55 momentum=98.76; 2026-07-27 ratio=98.76 momentum=98.54,False
industry,Plastic Products - Industrial,equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205009/,,stage_2,5,100.98,93.98,1.78,0.00421,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.39,101.63,0.84,1.32,True,False,2026-07-20 ratio=99.56 momentum=100.31; 2026-07-21 ratio=99.38 momentum=100.81; 2026-07-22 ratio=99.25 momentum=100.67; 2026-07-23 ratio=99.11 momentum=99.19; 2026-07-27 ratio=100.39 momentum=101.63,True
industry,Real Estate Investment Trusts (REITs),equal_weight_top_members,Realty,Realty,6,https://www.screener.in/market/IN02/IN0205/IN020501/IN020501003/,,stage_2,5,117.5,114.76,0.32,0.0049,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.13,98.11,-0.59,-3.08,False,False,2026-07-20 ratio=101.72 momentum=101.19; 2026-07-21 ratio=101.71 momentum=100.72; 2026-07-22 ratio=102.15 momentum=99.06; 2026-07-23 ratio=101.73 momentum=98.29; 2026-07-27 ratio=101.13 momentum=98.11,False
