level,name,symbol,parent,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,is_candidate,sector_moving_to_leading
stock,HCL Tech,HCLTECH.NS,IT Services,,not_stage_2,0,1100.7,1406.33,-4.18,0.04576,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.72,98.25,-0.31,-0.74,False,False,2026-06-19 ratio=99.03 momentum=98.99; 2026-06-22 ratio=99.00 momentum=97.96; 2026-06-23 ratio=98.92 momentum=97.86; 2026-06-24 ratio=98.88 momentum=98.18; 2026-06-25 ratio=98.72 momentum=98.25,False,False
stock,TCS,TCS.NS,IT Services,,not_stage_2,0,2094.7,2664.0,-4.55,0.08708,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.12,99.41,0.13,1.06,False,False,2026-06-19 ratio=97.99 momentum=98.35; 2026-06-22 ratio=98.05 momentum=99.50; 2026-06-23 ratio=97.79 momentum=98.49; 2026-06-24 ratio=98.15 momentum=99.43; 2026-06-25 ratio=98.12 momentum=99.41,False,False
stock,Wipro,WIPRO.NS,IT Services,,not_stage_2,0,175.0,216.33,-3.57,0.00727,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,97.93,103.04,-0.05,13.66,False,False,2026-06-19 ratio=97.97 momentum=89.37; 2026-06-22 ratio=97.96 momentum=101.34; 2026-06-23 ratio=97.74 momentum=100.40; 2026-06-24 ratio=97.76 momentum=101.64; 2026-06-25 ratio=97.93 momentum=103.04,False,False
stock,Infosys,INFY.NS,IT Services,,not_stage_2,0,1041.2,1355.52,-3.96,0.04328,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,97.87,98.0,0.22,1.71,False,False,2026-06-19 ratio=97.65 momentum=96.29; 2026-06-22 ratio=97.88 momentum=96.60; 2026-06-23 ratio=97.61 momentum=96.42; 2026-06-24 ratio=98.01 momentum=97.65; 2026-06-25 ratio=97.87 momentum=98.00,False,False
stock,Tata Motors,TATAMOTORS.NS,Auto OEM,Yahoo Finance returned no candles for TATAMOTORS.NS,data_error,0,,,,,{},data_error,data_error,,,,,False,False,,False,False
subsector,Pharma Largecap,SUNPHARMA.NS,Nifty Pharma,,stage_2,5,1862.8,1751.88,0.44,0.07744,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.56,99.55,0.12,-0.92,False,False,2026-06-19 ratio=100.44 momentum=100.47; 2026-06-22 ratio=100.62 momentum=99.88; 2026-06-23 ratio=100.90 momentum=101.85; 2026-06-24 ratio=100.76 momentum=100.82; 2026-06-25 ratio=100.56 momentum=99.55,False,False
subsector,Private Banks,HDFCBANK.NS,Nifty Bank,,not_stage_2,3,796.3,854.26,-3.33,0.0331,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.68,104.22,1.73,2.68,True,False,2026-06-19 ratio=99.96 momentum=101.54; 2026-06-22 ratio=100.34 momentum=102.28; 2026-06-23 ratio=100.15 momentum=103.25; 2026-06-24 ratio=101.43 momentum=103.88; 2026-06-25 ratio=101.68 momentum=104.22,False,False
subsector,Real Estate Developers,DLF.NS,Nifty Realty,,not_stage_2,3,621.35,612.88,-2.97,0.02583,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",leading,leading,101.6,102.62,-0.57,1.29,False,False,2026-06-19 ratio=102.16 momentum=101.33; 2026-06-22 ratio=102.09 momentum=101.89; 2026-06-23 ratio=101.49 momentum=100.85; 2026-06-24 ratio=101.49 momentum=101.80; 2026-06-25 ratio=101.60 momentum=102.62,False,False
subsector,Two Wheelers,BAJAJ-AUTO.NS,Nifty Auto,,not_stage_2,3,9843.0,9659.48,1.68,0.40917,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.08,95.39,-0.64,-2.12,False,False,2026-06-19 ratio=99.72 momentum=97.51; 2026-06-22 ratio=99.88 momentum=97.53; 2026-06-23 ratio=99.73 momentum=97.34; 2026-06-24 ratio=98.88 momentum=95.74; 2026-06-25 ratio=99.08 momentum=95.39,False,False
subsector,Metals Steel,TATASTEEL.NS,Nifty Metal,,not_stage_2,2,188.71,195.84,1.74,0.00784,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.27,95.5,-0.81,-1.9,False,False,2026-06-19 ratio=98.08 momentum=97.39; 2026-06-22 ratio=98.04 momentum=97.28; 2026-06-23 ratio=97.70 momentum=95.66; 2026-06-24 ratio=97.22 momentum=95.83; 2026-06-25 ratio=97.27 momentum=95.50,False,False
subsector,FMCG Staples,HINDUNILVR.NS,Nifty FMCG,,not_stage_2,1,2174.2,2252.29,-1.58,0.09038,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,99.02,96.89,-0.43,-3.69,False,False,2026-06-19 ratio=99.45 momentum=100.58; 2026-06-22 ratio=99.16 momentum=99.06; 2026-06-23 ratio=99.15 momentum=98.55; 2026-06-24 ratio=98.83 momentum=95.14; 2026-06-25 ratio=99.02 momentum=96.89,False,False
subsector,IT Services,INFY.NS,Nifty IT,,not_stage_2,0,1041.2,1355.52,-3.96,0.04328,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,97.87,98.0,0.22,1.71,False,False,2026-06-19 ratio=97.65 momentum=96.29; 2026-06-22 ratio=97.88 momentum=96.60; 2026-06-23 ratio=97.61 momentum=96.42; 2026-06-24 ratio=98.01 momentum=97.65; 2026-06-25 ratio=97.87 momentum=98.00,False,False
subsector,Auto OEM,TATAMOTORS.NS,Nifty Auto,Yahoo Finance returned no candles for TATAMOTORS.NS,data_error,0,,,,,{},data_error,data_error,,,,,False,False,,False,False
